Data Source in SDW: null
,MNA.Q.Y.FR.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.G1
,"Gross domestic product at market prices - France - Domestic (home or reference area), Total economy, Domestic currency (incl. conversion to current currency made using a fix parity), Chain linked volume (rebased), Growth rate, period on period, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Domestic currency ]
,,obs. status
1963Q4,0.0,Normal value (A)
1963Q3,3.2,Normal value (A)
1963Q2,4.1,Normal value (A)
1963Q1,-0.6,Normal value (A)
1962Q4,1.1,Normal value (A)
1962Q3,1.9,Normal value (A)
1962Q2,1.5,Normal value (A)
1962Q1,2.1,Normal value (A)
1961Q4,1.8,Normal value (A)
1961Q3,0.9,Normal value (A)
1961Q2,0.6,Normal value (A)
1961Q1,1.4,Normal value (A)
1960Q4,1.1,Normal value (A)
1960Q3,1.7,Normal value (A)
1960Q2,2.5,Normal value (A)
1960Q1,2.1,Normal value (A)
1959Q4,2.5,Normal value (A)
1959Q3,1.1,Normal value (A)
1959Q2,1.2,Normal value (A)
1959Q1,0.2,Normal value (A)
1958Q4,0.3,Normal value (A)
1958Q3,-0.2,Normal value (A)
1958Q2,0.4,Normal value (A)
1958Q1,1.3,Normal value (A)
1957Q4,0.3,Normal value (A)
1957Q3,1.6,Normal value (A)
1957Q2,0.7,Normal value (A)
1957Q1,1.9,Normal value (A)
1956Q4,1.5,Normal value (A)
1956Q3,1.2,Normal value (A)
1956Q2,1.7,Normal value (A)
1956Q1,0.8,Normal value (A)
1955Q4,1.1,Normal value (A)
1955Q3,1.5,Normal value (A)
1955Q2,1.5,Normal value (A)
1955Q1,1.3,Normal value (A)
1954Q4,0.8,Normal value (A)
1954Q3,1.6,Normal value (A)
1954Q2,1.7,Normal value (A)
1954Q1,1.5,Normal value (A)
1953Q4,1.6,Normal value (A)
1953Q3,0.5,Normal value (A)
1953Q2,1.6,Normal value (A)
1953Q1,1.1,Normal value (A)
1952Q4,-0.1,Normal value (A)
1952Q3,0.9,Normal value (A)
1952Q2,-0.5,Normal value (A)
1952Q1,1.7,Normal value (A)
1951Q4,1.0,Normal value (A)
1951Q3,1.5,Normal value (A)
1951Q2,0.8,Normal value (A)
1951Q1,0.1,Normal value (A)
1950Q4,2.5,Normal value (A)
1950Q3,2.4,Normal value (A)
1950Q2,2.5,Normal value (A)
1950Q1,2.8,Normal value (A)
1949Q4,1.2,Normal value (A)
1949Q3,1.5,Normal value (A)
1949Q2,0.9,Normal value (A)
