DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-06,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-07,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-08,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-09,0.20000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-10,0.22000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-11,0.22000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-12,0.22000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-01,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-02,0.15000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-03,0.15000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-04,0.14000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-05,0.14000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-06,0.16000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-07,0.08000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-08,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-09,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-10,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-11,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2012-12,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-01,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-02,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-03,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-04,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-05,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-06,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-07,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-08,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-09,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-10,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-11,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2013-12,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-01,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-02,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-03,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-04,0.05000,
